A̱o,Trimestre,Ingresos (miles de $)
2022,4,32356913.919
2022,3,29698512.567
2022,2,31258182.505
2022,1,30583344.001
2021,4,40616059.171
2021,3,20789995.213
2021,2,22178751.89
2021,1,21378667.685
2020,4,19750303.976
2020,3,18162023.887
2020,2,21035522.89
2020,1,17067597.815
2019,4,20321577.161
2019,3,13404569.149
2019,2,14181055.209
2019,1,12238568.393
2018,4,8997157.88
2018,3,10111350.574
2018,2,7911723.066
2018,1,8252279.991
2017,4,5514336.188
2017,3,6667943.526
2017,2,6970617.225
2017,1,6375681.756
2016,4,4964596.393
2016,3,4951967.656
2016,2,4718769.816
2016,1,4198260.392
2015,4,3815364.119
2015,3,3590883.181
2015,2,3425518.48
2015,1,3260124.752
2014,4,3339690.895
2014,3,3105462.022
2014,2,2974865.204
2014,1,2916071.754
