Año,Mes,Motivo de Reclamo,Operador,Cantidad
2023,1,Facturación,AMX Argentina S.A. (Claro),16
2023,1,Facturación,DIRECTV Argentina S.A.L,4
2023,1,Facturación,Fibertel S.A. (TCI),8
2023,1,Facturación,Movistar - Telefonica Moviles Argentina S.A.,24
2023,1,Facturación,Otros,25
2023,1,Facturación,TELECENTRO S.A.,82
2023,1,Facturación,Telecom Argentina S.A.,195
2023,1,Facturación,Telefonica de Argentina S.A.,51
2023,1,Facturación,TELMEX Argentina S.A.,2
2023,1,Gestiones Administrativas,AMX Argentina S.A. (Claro),17
2023,1,Gestiones Administrativas,DIRECTV Argentina S.A.L,20
2023,1,Gestiones Administrativas,Fibertel S.A. (TCI),5
2023,1,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,35
2023,1,Gestiones Administrativas,Otros,39
2023,1,Gestiones Administrativas,TELECENTRO S.A.,50
2023,1,Gestiones Administrativas,Telecom Argentina S.A.,228
2023,1,Gestiones Administrativas,Telefonica de Argentina S.A.,109
2023,1,Gestiones Administrativas,TELMEX Argentina S.A.,1
2023,1,Otros,AMX Argentina S.A. (Claro),7
2023,1,Otros,DIRECTV Argentina S.A.L,2
2023,1,Otros,Movistar - Telefonica Moviles Argentina S.A.,24
2023,1,Otros,Otros,7
2023,1,Otros,TELECENTRO S.A.,6
2023,1,Otros,Telecom Argentina S.A.,52
2023,1,Otros,Telefonica de Argentina S.A.,7
2023,1,Problemas Técnicos,AMX Argentina S.A. (Claro),17
2023,1,Problemas Técnicos,DIRECTV Argentina S.A.L,8
2023,1,Problemas Técnicos,Fibertel S.A. (TCI),6
2023,1,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,13
2023,1,Problemas Técnicos,NSS S.A.,1
2023,1,Problemas Técnicos,Otros,94
2023,1,Problemas Técnicos,TELECENTRO S.A.,60
2023,1,Problemas Técnicos,Telecom Argentina S.A.,731
2023,1,Problemas Técnicos,Telefonica de Argentina S.A.,308
2023,1,Problemas Técnicos,TELMEX Argentina S.A.,2
2023,2,Facturación,AMX Argentina S.A. (Claro),21
2023,2,Facturación,DIRECTV Argentina S.A.L,13
2023,2,Facturación,Fibertel S.A. (TCI),3
2023,2,Facturación,Movistar - Telefonica Moviles Argentina S.A.,31
2023,2,Facturación,NSS S.A.,1
2023,2,Facturación,Otros,34
2023,2,Facturación,SION S.A.,1
2023,2,Facturación,TELECENTRO S.A.,55
2023,2,Facturación,Telecom Argentina S.A.,182
2023,2,Facturación,Telefonica de Argentina S.A.,52
2023,2,Gestiones Administrativas,AMX Argentina S.A. (Claro),20
2023,2,Gestiones Administrativas,DIRECTV Argentina S.A.L,14
2023,2,Gestiones Administrativas,Fibertel S.A. (TCI),3
2023,2,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,33
2023,2,Gestiones Administrativas,NSS S.A.,1
2023,2,Gestiones Administrativas,Otros,32
2023,2,Gestiones Administrativas,TELECENTRO S.A.,68
2023,2,Gestiones Administrativas,Telecom Argentina S.A.,190
2023,2,Gestiones Administrativas,Telefonica de Argentina S.A.,106
2023,2,Gestiones Administrativas,TELMEX Argentina S.A.,1
2023,2,Otros,AMX Argentina S.A. (Claro),11
2023,2,Otros,DIRECTV Argentina S.A.L,1
2023,2,Otros,Fibertel S.A. (TCI),2
2023,2,Otros,Movistar - Telefonica Moviles Argentina S.A.,16
2023,2,Otros,Otros,3
2023,2,Otros,TELECENTRO S.A.,7
2023,2,Otros,Telecom Argentina S.A.,46
2023,2,Otros,Telefonica de Argentina S.A.,5
2023,2,Problemas Técnicos,AMX Argentina S.A. (Claro),12
2023,2,Problemas Técnicos,DIRECTV Argentina S.A.L,1
2023,2,Problemas Técnicos,Fibertel S.A. (TCI),6
2023,2,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,15
2023,2,Problemas Técnicos,NSS S.A.,2
2023,2,Problemas Técnicos,Otros,66
2023,2,Problemas Técnicos,SION S.A.,1
2023,2,Problemas Técnicos,TELECENTRO S.A.,84
2023,2,Problemas Técnicos,Telecom Argentina S.A.,676
2023,2,Problemas Técnicos,Telefonica de Argentina S.A.,272
2023,2,Problemas Técnicos,TELMEX Argentina S.A.,5
2023,3,Facturación,AMX Argentina S.A. (Claro),26
2023,3,Facturación,DIRECTV Argentina S.A.L,8
2023,3,Facturación,Fibertel S.A. (TCI),2
2023,3,Facturación,Movistar - Telefonica Moviles Argentina S.A.,30
2023,3,Facturación,NSS S.A.,1
2023,3,Facturación,Otros,29
2023,3,Facturación,TELECENTRO S.A.,57
2023,3,Facturación,Telecom Argentina S.A.,223
2023,3,Facturación,Telefonica de Argentina S.A.,57
2023,3,Gestiones Administrativas,AMX Argentina S.A. (Claro),28
2023,3,Gestiones Administrativas,DIRECTV Argentina S.A.L,25
2023,3,Gestiones Administrativas,Fibertel S.A. (TCI),5
2023,3,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,51
2023,3,Gestiones Administrativas,NSS S.A.,5
2023,3,Gestiones Administrativas,Otros,13
2023,3,Gestiones Administrativas,PRIMA,1
2023,3,Gestiones Administrativas,TELECENTRO S.A.,70
2023,3,Gestiones Administrativas,Telecom Argentina S.A.,318
2023,3,Gestiones Administrativas,Telefonica de Argentina S.A.,117
2023,3,Otros,AMX Argentina S.A. (Claro),18
2023,3,Otros,DIRECTV Argentina S.A.L,3
2023,3,Otros,Fibertel S.A. (TCI),4
2023,3,Otros,Movistar - Telefonica Moviles Argentina S.A.,29
2023,3,Otros,Otros,16
2023,3,Otros,TELECENTRO S.A.,14
2023,3,Otros,Telecom Argentina S.A.,75
2023,3,Otros,Telefonica de Argentina S.A.,9
2023,3,Problemas Técnicos,AMX Argentina S.A. (Claro),22
2023,3,Problemas Técnicos,DIRECTV Argentina S.A.L,2
2023,3,Problemas Técnicos,Fibertel S.A. (TCI),13
2023,3,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,26
2023,3,Problemas Técnicos,NSS S.A.,5
2023,3,Problemas Técnicos,Otros,55
2023,3,Problemas Técnicos,SION S.A.,1
2023,3,Problemas Técnicos,TELECENTRO S.A.,115
2023,3,Problemas Técnicos,Telecom Argentina S.A.,893
2023,3,Problemas Técnicos,Telefonica de Argentina S.A.,252
2023,4,Facturación,AMX Argentina S.A. (Claro),25
2023,4,Facturación,DIRECTV Argentina S.A.L,5
2023,4,Facturación,Fibertel S.A. (TCI),2
2023,4,Facturación,Movistar - Telefonica Moviles Argentina S.A.,24
2023,4,Facturación,NSS S.A.,1
2023,4,Facturación,Otros,18
2023,4,Facturación,SION S.A.,1
2023,4,Facturación,TELECENTRO S.A.,53
2023,4,Facturación,Telecom Argentina S.A.,129
2023,4,Facturación,Telefonica de Argentina S.A.,36
2023,4,Gestiones Administrativas,AMX Argentina S.A. (Claro),14
2023,4,Gestiones Administrativas,DIRECTV Argentina S.A.L,20
2023,4,Gestiones Administrativas,Fibertel S.A. (TCI),4
2023,4,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,38
2023,4,Gestiones Administrativas,Otros,21
2023,4,Gestiones Administrativas,TELECENTRO S.A.,33
2023,4,Gestiones Administrativas,Telecom Argentina S.A.,227
2023,4,Gestiones Administrativas,Telefonica de Argentina S.A.,83
2023,4,Otros,AMX Argentina S.A. (Claro),13
2023,4,Otros,DIRECTV Argentina S.A.L,1
2023,4,Otros,Fibertel S.A. (TCI),2
2023,4,Otros,Movistar - Telefonica Moviles Argentina S.A.,20
2023,4,Otros,NSS S.A.,1
2023,4,Otros,Otros,4
2023,4,Otros,TELECENTRO S.A.,7
2023,4,Otros,Telecom Argentina S.A.,54
2023,4,Otros,Telefonica de Argentina S.A.,4
2023,4,Problemas Técnicos,AMX Argentina S.A. (Claro),20
2023,4,Problemas Técnicos,DIRECTV Argentina S.A.L,2
2023,4,Problemas Técnicos,Fibertel S.A. (TCI),5
2023,4,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,11
2023,4,Problemas Técnicos,Otros,45
2023,4,Problemas Técnicos,TELECENTRO S.A.,44
2023,4,Problemas Técnicos,Telecom Argentina S.A.,560
2023,4,Problemas Técnicos,Telefonica de Argentina S.A.,155
2023,5,Facturación,AMX Argentina S.A. (Claro),21
2023,5,Facturación,DIRECTV Argentina S.A.L,4
2023,5,Facturación,Fibertel S.A. (TCI),3
2023,5,Facturación,Movistar - Telefonica Moviles Argentina S.A.,31
2023,5,Facturación,NSS S.A.,2
2023,5,Facturación,Otros,17
2023,5,Facturación,PRIMA,2
2023,5,Facturación,SION S.A.,1
2023,5,Facturación,TELECENTRO S.A.,31
2023,5,Facturación,Telecom Argentina S.A.,136
2023,5,Facturación,Telefonica de Argentina S.A.,45
2023,5,Gestiones Administrativas,AMX Argentina S.A. (Claro),19
2023,5,Gestiones Administrativas,DIRECTV Argentina S.A.L,19
2023,5,Gestiones Administrativas,Fibertel S.A. (TCI),5
2023,5,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,42
2023,5,Gestiones Administrativas,NSS S.A.,2
2023,5,Gestiones Administrativas,Otros,25
2023,5,Gestiones Administrativas,SION S.A.,1
2023,5,Gestiones Administrativas,TELECENTRO S.A.,26
2023,5,Gestiones Administrativas,Telecom Argentina S.A.,204
2023,5,Gestiones Administrativas,Telefonica de Argentina S.A.,91
2023,5,Otros,AMX Argentina S.A. (Claro),7
2023,5,Otros,DIRECTV Argentina S.A.L,1
2023,5,Otros,Fibertel S.A. (TCI),1
2023,5,Otros,Movistar - Telefonica Moviles Argentina S.A.,18
2023,5,Otros,Otros,7
2023,5,Otros,SION S.A.,1
2023,5,Otros,TELECENTRO S.A.,9
2023,5,Otros,Telecom Argentina S.A.,45
2023,5,Otros,Telefonica de Argentina S.A.,5
2023,5,Problemas Técnicos,AMX Argentina S.A. (Claro),12
2023,5,Problemas Técnicos,DIRECTV Argentina S.A.L,3
2023,5,Problemas Técnicos,Fibertel S.A. (TCI),5
2023,5,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,19
2023,5,Problemas Técnicos,Otros,31
2023,5,Problemas Técnicos,TELECENTRO S.A.,26
2023,5,Problemas Técnicos,Telecom Argentina S.A.,521
2023,5,Problemas Técnicos,Telefonica de Argentina S.A.,160
2023,6,Facturación,AMX Argentina S.A. (Claro),21
2023,6,Facturación,DIRECTV Argentina S.A.L,1
2023,6,Facturación,Fibertel S.A. (TCI),1
2023,6,Facturación,Movistar - Telefonica Moviles Argentina S.A.,21
2023,6,Facturación,Otros,14
2023,6,Facturación,TELECENTRO S.A.,84
2023,6,Facturación,Telecom Argentina S.A.,132
2023,6,Facturación,Telefonica de Argentina S.A.,46
2023,6,Gestiones Administrativas,AMX Argentina S.A. (Claro),16
2023,6,Gestiones Administrativas,DIRECTV Argentina S.A.L,7
2023,6,Gestiones Administrativas,Fibertel S.A. (TCI),1
2023,6,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,23
2023,6,Gestiones Administrativas,NSS S.A.,1
2023,6,Gestiones Administrativas,Otros,25
2023,6,Gestiones Administrativas,TELECENTRO S.A.,45
2023,6,Gestiones Administrativas,Telecom Argentina S.A.,157
2023,6,Gestiones Administrativas,Telefonica de Argentina S.A.,124
2023,6,Otros,AMX Argentina S.A. (Claro),15
2023,6,Otros,Movistar - Telefonica Moviles Argentina S.A.,20
2023,6,Otros,NSS S.A.,1
2023,6,Otros,Otros,10
2023,6,Otros,SION S.A.,1
2023,6,Otros,TELECENTRO S.A.,8
2023,6,Otros,Telecom Argentina S.A.,33
2023,6,Otros,Telefonica de Argentina S.A.,4
2023,6,Problemas Técnicos,AMX Argentina S.A. (Claro),12
2023,6,Problemas Técnicos,Fibertel S.A. (TCI),1
2023,6,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,7
2023,6,Problemas Técnicos,Otros,35
2023,6,Problemas Técnicos,TELECENTRO S.A.,21
2023,6,Problemas Técnicos,Telecom Argentina S.A.,394
2023,6,Problemas Técnicos,Telefonica de Argentina S.A.,195
2023,7,Facturación,AMX Argentina S.A. (Claro),15
2023,7,Facturación,DIRECTV Argentina S.A.L,3
2023,7,Facturación,Fibertel S.A. (TCI),4
2023,7,Facturación,Movistar - Telefonica Moviles Argentina S.A.,32
2023,7,Facturación,NSS S.A.,1
2023,7,Facturación,Otros,18
2023,7,Facturación,TELECENTRO S.A.,51
2023,7,Facturación,Telecom Argentina S.A.,136
2023,7,Facturación,Telefonica de Argentina S.A.,31
2023,7,Gestiones Administrativas,AMX Argentina S.A. (Claro),5
2023,7,Gestiones Administrativas,DIRECTV Argentina S.A.L,13
2023,7,Gestiones Administrativas,Fibertel S.A. (TCI),6
2023,7,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,41
2023,7,Gestiones Administrativas,NSS S.A.,2
2023,7,Gestiones Administrativas,Otros,25
2023,7,Gestiones Administrativas,TELECENTRO S.A.,37
2023,7,Gestiones Administrativas,Telecom Argentina S.A.,181
2023,7,Gestiones Administrativas,Telefonica de Argentina S.A.,69
2023,7,Otros,AMX Argentina S.A. (Claro),4
2023,7,Otros,Fibertel S.A. (TCI),1
2023,7,Otros,Movistar - Telefonica Moviles Argentina S.A.,19
2023,7,Otros,Otros,5
2023,7,Otros,TELECENTRO S.A.,9
2023,7,Otros,Telecom Argentina S.A.,47
2023,7,Otros,Telefonica de Argentina S.A.,3
2023,7,Problemas Técnicos,AMX Argentina S.A. (Claro),10
2023,7,Problemas Técnicos,DIRECTV Argentina S.A.L,1
2023,7,Problemas Técnicos,Fibertel S.A. (TCI),4
2023,7,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,15
2023,7,Problemas Técnicos,NSS S.A.,3
2023,7,Problemas Técnicos,Otros,42
2023,7,Problemas Técnicos,TELECENTRO S.A.,48
2023,7,Problemas Técnicos,Telecom Argentina S.A.,373
2023,7,Problemas Técnicos,Telefonica de Argentina S.A.,152
2023,8,Facturación,AMX Argentina S.A. (Claro),23
2023,8,Facturación,DIRECTV Argentina S.A.L,9
2023,8,Facturación,Movistar - Telefonica Moviles Argentina S.A.,42
2023,8,Facturación,Otros,20
2023,8,Facturación,TELECENTRO S.A.,33
2023,8,Facturación,Telecom Argentina S.A.,137
2023,8,Facturación,Telefonica de Argentina S.A.,24
2023,8,Gestiones Administrativas,Advance Telecomunicaciones S.A. (Speedy),2
2023,8,Gestiones Administrativas,AMX Argentina S.A. (Claro),15
2023,8,Gestiones Administrativas,DIRECTV Argentina S.A.L,27
2023,8,Gestiones Administrativas,Fibertel S.A. (TCI),4
2023,8,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,42
2023,8,Gestiones Administrativas,Otros,17
2023,8,Gestiones Administrativas,TELECENTRO S.A.,25
2023,8,Gestiones Administrativas,Telecom Argentina S.A.,164
2023,8,Gestiones Administrativas,Telefonica de Argentina S.A.,72
2023,8,Otros,AMX Argentina S.A. (Claro),6
2023,8,Otros,Movistar - Telefonica Moviles Argentina S.A.,16
2023,8,Otros,NSS S.A.,1
2023,8,Otros,Otros,8
2023,8,Otros,TELECENTRO S.A.,8
2023,8,Otros,Telecom Argentina S.A.,37
2023,8,Otros,Telefonica de Argentina S.A.,5
2023,8,Problemas Técnicos,AMX Argentina S.A. (Claro),16
2023,8,Problemas Técnicos,DIRECTV Argentina S.A.L,3
2023,8,Problemas Técnicos,Fibertel S.A. (TCI),3
2023,8,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,10
2023,8,Problemas Técnicos,NSS S.A.,1
2023,8,Problemas Técnicos,Otros,50
2023,8,Problemas Técnicos,PRIMA,1
2023,8,Problemas Técnicos,TELECENTRO S.A.,28
2023,8,Problemas Técnicos,Telecom Argentina S.A.,380
2023,8,Problemas Técnicos,Telefonica de Argentina S.A.,164
2023,9,Facturación,AMX Argentina S.A. (Claro),10
2023,9,Facturación,DIRECTV Argentina S.A.L,4
2023,9,Facturación,Fibertel S.A. (TCI),8
2023,9,Facturación,Movistar - Telefonica Moviles Argentina S.A.,31
2023,9,Facturación,Otros,36
2023,9,Facturación,TELECENTRO S.A.,35
2023,9,Facturación,Telecom Argentina S.A.,96
2023,9,Facturación,Telefonica de Argentina S.A.,40
2023,9,Gestiones Administrativas,AMX Argentina S.A. (Claro),9
2023,9,Gestiones Administrativas,DIRECTV Argentina S.A.L,16
2023,9,Gestiones Administrativas,Fibertel S.A. (TCI),4
2023,9,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,38
2023,9,Gestiones Administrativas,NSS S.A.,1
2023,9,Gestiones Administrativas,Otros,11
2023,9,Gestiones Administrativas,TELECENTRO S.A.,25
2023,9,Gestiones Administrativas,Telecom Argentina S.A.,162
2023,9,Gestiones Administrativas,Telefonica de Argentina S.A.,75
2023,9,Otros,AMX Argentina S.A. (Claro),5
2023,9,Otros,DIRECTV Argentina S.A.L,5
2023,9,Otros,Movistar - Telefonica Moviles Argentina S.A.,32
2023,9,Otros,NSS S.A.,2
2023,9,Otros,Otros,3
2023,9,Otros,TELECENTRO S.A.,4
2023,9,Otros,Telecom Argentina S.A.,36
2023,9,Otros,Telefonica de Argentina S.A.,4
2023,9,Problemas Técnicos,Advance Telecomunicaciones S.A. (Speedy),1
2023,9,Problemas Técnicos,AMX Argentina S.A. (Claro),16
2023,9,Problemas Técnicos,Fibertel S.A. (TCI),8
2023,9,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,17
2023,9,Problemas Técnicos,Otros,58
2023,9,Problemas Técnicos,TELECENTRO S.A.,28
2023,9,Problemas Técnicos,Telecom Argentina S.A.,450
2023,9,Problemas Técnicos,Telefonica de Argentina S.A.,165
